Case_ID,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,Scale_ID,RawScore,DecileScore,ScoreText,AssessmentType
51950,PRETRIAL,Male,Caucasian,92,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-2.08,4,Low,New
51950,PRETRIAL,Male,Caucasian,92,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.06,2,Low,New
51950,PRETRIAL,Male,Caucasian,92,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,15.0,1,Low,New
51956,PRETRIAL,Male,Caucasian,84,22,Intake,English,Pretrial,Jail Inmate,Married,1,7,-2.84,2,Low,New
51956,PRETRIAL,Male,Caucasian,84,22,Intake,English,Pretrial,Jail Inmate,Married,1,8,-1.5,1,Low,New
51956,PRETRIAL,Male,Caucasian,84,22,Intake,English,Pretrial,Jail Inmate,Married,1,18,19.0,3,Low,New
51963,PRETRIAL,Male,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Single,4,7,-1.2,8,High,New
51963,PRETRIAL,Male,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Single,4,8,0.18,8,High,New
51963,PRETRIAL,Male,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Single,4,18,13.0,1,Low,New
51958,PRETRIAL,Female,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Significant Other,2,7,-1.29,7,Medium,New
51958,PRETRIAL,Female,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Significant Other,2,8,-0.53,6,Medium,New
51958,PRETRIAL,Female,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Significant Other,2,18,11.0,1,Low,New
51945,PRETRIAL,Female,African-American,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-2.9,2,Low,New
51945,PRETRIAL,Female,African-American,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.55,2,Low,New
51945,PRETRIAL,Female,African-American,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,16.0,2,Low,New
51961,PRETRIAL,Male,Hispanic,84,22,Intake,English,Pretrial,Jail Inmate,Single,3,7,-1.33,7,Medium,New
51961,PRETRIAL,Male,Hispanic,84,22,Intake,English,Pretrial,Jail Inmate,Single,3,8,0.71,10,High,New
51961,PRETRIAL,Male,Hispanic,84,22,Intake,English,Pretrial,Jail Inmate,Single,3,18,24.0,6,Medium,New
51946,PRETRIAL,Female,Caucasian,66,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-3.01,1,Low,New
51946,PRETRIAL,Female,Caucasian,66,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.74,1,Low,New
51946,PRETRIAL,Female,Caucasian,66,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,19.0,3,Low,New
51960,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,7,-1.44,7,Medium,New
51960,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,8,0.38,9,High,New
51960,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,18,20.0,3,Low,New
51953,PRETRIAL,Male,Other,72,22,Intake,English,Pretrial,Jail Inmate,Married,1,7,-3.03,1,Low,New
51953,PRETRIAL,Male,Other,72,22,Intake,English,Pretrial,Jail Inmate,Married,1,8,-1.21,2,Low,New
51953,PRETRIAL,Male,Other,72,22,Intake,English,Pretrial,Jail Inmate,Married,1,18,16.0,2,Low,New
51948,PRETRIAL,Male,Caucasian,86,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-2.69,2,Low,New
51948,PRETRIAL,Male,Caucasian,86,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.31,2,Low,New
51948,PRETRIAL,Male,Caucasian,86,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,13.0,1,Low,New
51949,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,7,-0.92,9,High,New
51949,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,8,0.06,7,Medium,New
51949,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,18,15.0,1,Low,New
51962,PRETRIAL,Male,Caucasian,80,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-3.15,1,Low,New
51962,PRETRIAL,Male,Caucasian,80,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.66,1,Low,New
51962,PRETRIAL,Male,Caucasian,80,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,18.0,3,Low,New
51957,PRETRIAL,Female,Caucasian,78,22,Intake,English,Pretrial,Jail Inmate,Married,1,7,-3.14,1,Low,New
51957,PRETRIAL,Female,Caucasian,78,22,Intake,English,Pretrial,Jail Inmate,Married,1,8,-1.67,1,Low,New
51957,PRETRIAL,Female,Caucasian,78,22,Intake,English,Pretrial,Jail Inmate,Married,1,18,13.0,1,Low,New
51947,PRETRIAL,Female,African-American,88,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-2.33,3,Low,New
51947,PRETRIAL,Female,African-American,88,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.0,4,Low,New
51947,PRETRIAL,Female,African-American,88,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,15.0,1,Low,New
51959,PRETRIAL,Female,African-American,79,22,Intake,English,Pretrial,Jail Inmate,Single,2,7,-2.2,4,Low,New
51959,PRETRIAL,Female,African-American,79,22,Intake,English,Pretrial,Jail Inmate,Single,2,8,-0.57,6,Medium,New
51959,PRETRIAL,Female,African-American,79,22,Intake,English,Pretrial,Jail Inmate,Single,2,18,18.0,3,Low,New
51964,PRETRIAL,Male,African-American,70,22,Intake,English,Pretrial,Jail Inmate,Married,1,7,-3.63,1,Low,New
51964,PRETRIAL,Male,African-American,70,22,Intake,English,Pretrial,Jail Inmate,Married,1,8,-2.11,1,Low,New
51964,PRETRIAL,Male,African-American,70,22,Intake,English,Pretrial,Jail Inmate,Married,1,18,18.0,3,Low,New
51972,PRETRIAL,Male,Caucasian,91,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-2.28,3,Low,New
51972,PRETRIAL,Male,Caucasian,91,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-1.29,2,Low,New
51972,PRETRIAL,Male,Caucasian,91,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,13.0,1,Low,New
51984,PRETRIAL,Male,Caucasian,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,-1.98,4,Low,New
51984,PRETRIAL,Male,Caucasian,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,-0.36,5,Medium,New
51984,PRETRIAL,Male,Caucasian,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,18.0,3,Low,New
51979,Probation,Male,Caucasian,84,22,Intake,English,Post Sentence,Probation,Single,1,7,-3.0,1,Low,New
51979,Probation,Male,Caucasian,84,22,Intake,English,Post Sentence,Probation,Single,1,8,-0.75,3,Low,New
51979,Probation,Male,Caucasian,84,22,Intake,English,Post Sentence,Probation,Single,1,18,13.0,1,Low,New
51992,PRETRIAL,Male,African-American,75,22,Intake,English,Post Sentence,Probation,Single,1,7,-3.52,1,Low,New
51992,PRETRIAL,Male,African-American,75,22,Intake,English,Post Sentence,Probation,Single,1,8,-1.54,1,Low,New
51992,PRETRIAL,Male,African-American,75,22,Intake,English,Post Sentence,Probation,Single,1,18,13.0,1,Low,New
51993,PRETRIAL,Male,African-American,73,22,Intake,English,Pretrial,Jail Inmate,Married,2,7,-1.99,4,Low,New
51993,PRETRIAL,Male,African-American,73,22,Intake,English,Pretrial,Jail Inmate,Married,2,8,-0.02,7,Medium,New
51993,PRETRIAL,Male,African-American,73,22,Intake,English,Pretrial,Jail Inmate,Married,2,18,18.0,3,Low,New
47026,PRETRIAL,Male,Other,88,22,Intake,English,Pretrial,Jail Inmate,Single,4,7,-0.89,9,High,Copy
47026,PRETRIAL,Male,Other,88,22,Intake,English,Pretrial,Jail Inmate,Single,4,8,0.79,10,High,Copy
