Case_ID,Agency_Text,Sex_Code_Text,Ethnic_Code_Text,DateOfBirth,ScaleSet_ID,AssessmentReason,Language,LegalStatus,CustodyStatus,MaritalStatus,RecSupervisionLevel,Scale_ID,RawScore,DecileScore,ScoreText,AssessmentType
51950,PRETRIAL,Male,Caucasian,92,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,0.047,4,Low,New
51950,PRETRIAL,Male,Caucasian,92,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,0.0668,2,Low,New
51950,PRETRIAL,Male,Caucasian,92,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,0.3786,1,Low,New
51956,PRETRIAL,Male,Caucasian,84,22,Intake,English,Pretrial,Jail Inmate,Married,1,7,0.0322,2,Low,New
51956,PRETRIAL,Male,Caucasian,84,22,Intake,English,Pretrial,Jail Inmate,Married,1,8,0.0583,1,Low,New
51956,PRETRIAL,Male,Caucasian,84,22,Intake,English,Pretrial,Jail Inmate,Married,1,18,0.4563,3,Low,New
51963,PRETRIAL,Male,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Single,4,7,0.0641,8,High,New
51963,PRETRIAL,Male,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Single,4,8,0.0909,8,High,New
51963,PRETRIAL,Male,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Single,4,18,0.3398,1,Low,New
51958,PRETRIAL,Female,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Significant Other,2,7,0.0623,7,Medium,New
51958,PRETRIAL,Female,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Significant Other,2,8,0.0771,6,Medium,New
51958,PRETRIAL,Female,African-American,94,22,Intake,English,Pretrial,Jail Inmate,Significant Other,2,18,0.301,1,Low,New
51945,PRETRIAL,Female,African-American,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,0.0311,2,Low,New
51945,PRETRIAL,Female,African-American,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,0.0573,2,Low,New
51945,PRETRIAL,Female,African-American,85,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,0.3981,2,Low,New
51961,PRETRIAL,Male,Hispanic,84,22,Intake,English,Pretrial,Jail Inmate,Single,3,7,0.0616,7,Medium,New
51961,PRETRIAL,Male,Hispanic,84,22,Intake,English,Pretrial,Jail Inmate,Single,3,8,0.1012,10,High,New
51961,PRETRIAL,Male,Hispanic,84,22,Intake,English,Pretrial,Jail Inmate,Single,3,18,0.5534,6,Medium,New
51946,PRETRIAL,Female,Caucasian,66,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,0.0289,1,Low,New
51946,PRETRIAL,Female,Caucasian,66,22,Intake,English,Pretrial,Jail Inmate,Single,1,8,0.0536,1,Low,New
51946,PRETRIAL,Female,Caucasian,66,22,Intake,English,Pretrial,Jail Inmate,Single,1,18,0.4563,3,Low,New
51960,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,7,0.0594,7,Medium,New
51960,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,8,0.0948,9,High,New
51960,PRETRIAL,Male,African-American,93,22,Intake,English,Pretrial,Jail Inmate,Single,3,18,0.4757,3,Low,New
51953,PRETRIAL,Male,Other,72,22,Intake,English,Pretrial,Jail Inmate,Married,1,7,0.0285,1,Low,New
51953,PRETRIAL,Male,Other,72,22,Intake,English,Pretrial,Jail Inmate,Married,1,8,0.0639,2,Low,New
51953,PRETRIAL,Male,Other,72,22,Intake,English,Pretrial,Jail Inmate,Married,1,18,0.3981,2,Low,New
51948,PRETRIAL,Male,Caucasian,86,22,Intake,English,Pretrial,Jail Inmate,Single,1,7,0.0351,2,Low,New
